placement,level,trait_TFT15_Bastion,trait_TFT15_Destroyer,trait_TFT15_DragonFist,trait_TFT15_Duelist,trait_TFT15_ElTigre,trait_TFT15_Empyrean,trait_TFT15_GemForce,trait_TFT15_Heavyweight,trait_TFT15_Juggernaut,trait_TFT15_Luchador,trait_TFT15_OldMentor,trait_TFT15_Rosemother,trait_TFT15_SentaiRanger,trait_TFT15_SoulFighter,trait_TFT15_Spellslinger,trait_TFT15_StarGuardian,trait_TFT15_Strategist,unit_TFT15_Aatrox,unit_TFT15_Aatrox_tier,unit_TFT15_Ashe,unit_TFT15_Ashe_tier,unit_TFT15_Braum,unit_TFT15_Braum_tier,unit_TFT15_Galio,unit_TFT15_Galio_tier,unit_TFT15_Gwen,unit_TFT15_Gwen_tier,unit_TFT15_JarvanIV,unit_TFT15_JarvanIV_tier,unit_TFT15_Karma,unit_TFT15_Karma_tier,unit_TFT15_Kayle,unit_TFT15_Kayle_tier,unit_TFT15_Lucian,unit_TFT15_Lucian_tier,unit_TFT15_Lux,unit_TFT15_Lux_tier,unit_TFT15_Poppy,unit_TFT15_Poppy_tier,unit_TFT15_Ryze,unit_TFT15_Ryze_tier,unit_TFT15_Sett,unit_TFT15_Sett_tier,unit_TFT15_Swain,unit_TFT15_Swain_tier,unit_TFT15_Udyr,unit_TFT15_Udyr_tier,unit_TFT15_Vi,unit_TFT15_Vi_tier,unit_TFT15_Viego,unit_TFT15_Viego_tier,unit_TFT15_Zyra,unit_TFT15_Zyra_tier,unit_tft15_leesin,unit_tft15_leesin_tier,item_TFT15_Item_ChallengerEmblemItem,item_TFT15_Item_CrystalRoseEmblemItem,item_TFT15_Item_SpellslingerEmblemItem,item_TFT15_RoboRanger_Core,item_TFT4_Item_OrnnMuramana,item_TFT5_Item_RunaansHurricaneRadiant,item_TFT_Item_AdaptiveHelm,item_TFT_Item_Artifact_InnervatingLocket,item_TFT_Item_Bloodthirster,item_TFT_Item_Deathblade,item_TFT_Item_DragonsClaw,item_TFT_Item_FrozenHeart,item_TFT_Item_GargoyleStoneplate,item_TFT_Item_GuardianAngel,item_TFT_Item_GuinsoosRageblade,item_TFT_Item_InfinityEdge,item_TFT_Item_JeweledGauntlet,item_TFT_Item_PowerGauntlet,item_TFT_Item_Quicksilver,item_TFT_Item_RapidFireCannon,item_TFT_Item_Redemption,item_TFT_Item_SparringGloves,item_TFT_Item_SpearOfShojin,item_TFT_Item_SpectralGauntlet,item_TFT_Item_StatikkShiv,item_TFT_Item_SteraksGage,item_TFT_Item_ThiefsGloves,item_TFT_Item_WarmogsArmor
2,9,1,0,0,0,1,0,0,0,0,0,1,0,1,1,3,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,2,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,1,0,0,2,1,0,0,0,1,2,0,1,0,0,0
3,10,0,0,1,3,0,0,1,1,2,0,1,1,0,1,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,2,0,0,1,2,1,2,1,2,1,2,1,2,1,1,0,0,1,1,0,0,1,1,1,1,0,0,2,2,0,0,1,1,1,0,0,1,0,1,2,4
