name,href,tag
Chibster10,https://www.metatft.com/player/na/Chibster10-NA1,NA1
Copico,https://www.metatft.com/player/na/Copico-na2,na2
jasonjava,https://www.metatft.com/player/na/jasonjava-NA1,NA1
DoklDokl,https://www.metatft.com/player/na/DoklDokl-urmom,urmom
Neonify,https://www.metatft.com/player/na/Neonify-NA1,NA1
Filup,https://www.metatft.com/player/na/Filup-TFT,TFT
PanicRoll,https://www.metatft.com/player/na/PanicRoll-NA1,NA1
robivankenob,https://www.metatft.com/player/na/robivankenob-NA1,NA1
MaGaBzzz,https://www.metatft.com/player/na/MaGaBzzz-NA1,NA1
Voltariux NA,https://www.metatft.com/player/na/Voltariux%20NA-NA1,NA1
superiority,https://www.metatft.com/player/na/superiority-wfm,wfm
wigwugg,https://www.metatft.com/player/na/wigwugg-111,111
bopster,https://www.metatft.com/player/na/bopster-PMD,PMD
